"date","initiative_id","initiative_type","metric_name","department","responsible_team","target_value","metric_value","completion_percentage","impact_value","status"
2013-08-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,6.88,6.88,0,"Not Started"
2013-08-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,17.9,17.9,0,"Not Started"
2013-08-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,16.06,16.06,0,"Not Started"
2013-08-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,24.78,24.78,403354,"Not Started"
2013-08-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,23.46,23.46,515472,"Not Started"
2013-08-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,24.43,24.43,394988,"Not Started"
2013-08-01,"REG001","sensing","compliance_score","Legal","Compliance",100,23.45,23.45,0,"Not Started"
2013-08-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,22.37,22.37,0,"Not Started"
2013-09-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,10.42,10.42,463760,"Not Started"
2013-09-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,11.64,11.64,0,"Not Started"
2013-09-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,19.25,19.25,0,"Not Started"
2013-09-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,19.42,19.42,0,"Not Started"
2013-09-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,20.05,20.05,508199,"Not Started"
2013-09-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,21.35,21.35,439035,"Not Started"
2013-09-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,17.71,17.71,380482,"Not Started"
2013-09-01,"REG001","sensing","compliance_score","Legal","Compliance",100,25.44,25.44,0,"In Progress"
2013-09-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,17.39,17.39,0,"Not Started"
2013-10-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,16.09,16.09,525423,"Not Started"
2013-10-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,18.34,18.34,0,"Not Started"
2013-10-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,13.83,13.83,0,"Not Started"
2013-10-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,17.8,17.8,0,"Not Started"
2013-10-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,25.32,25.32,560612,"In Progress"
2013-10-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,30.47,30.47,613726,"In Progress"
2013-10-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,20.37,20.37,355850,"Not Started"
2013-10-01,"REG001","sensing","compliance_score","Legal","Compliance",100,20.91,20.91,0,"Not Started"
2013-10-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,22.53,22.53,0,"Not Started"
2013-11-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,14.75,14.75,388373,"Not Started"
2013-11-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,16.49,16.49,0,"Not Started"
2013-11-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,23.51,23.51,0,"Not Started"
2013-11-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,15.5,15.5,0,"Not Started"
2013-11-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,29.71,29.71,607721,"In Progress"
2013-11-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,35.47,35.47,498373,"In Progress"
2013-11-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,22.93,22.93,524185,"Not Started"
2013-11-01,"REG001","sensing","compliance_score","Legal","Compliance",100,29.3,29.3,0,"In Progress"
2013-11-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,23.94,23.94,0,"Not Started"
2013-12-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,12.8,12.8,554868,"Not Started"
2013-12-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,17.51,17.51,0,"Not Started"
2013-12-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,22.46,22.46,0,"Not Started"
2013-12-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,19.03,19.03,0,"Not Started"
2013-12-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,26.56,26.56,529184,"In Progress"
2013-12-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,33.64,33.64,603004,"In Progress"
2013-12-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,26.44,26.44,557028,"In Progress"
2013-12-01,"REG001","sensing","compliance_score","Legal","Compliance",100,37.33,37.33,0,"In Progress"
2013-12-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,23.08,23.08,0,"Not Started"
2014-01-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,20.09,20.09,495421,"Not Started"
2014-01-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,20.24,20.24,0,"Not Started"
2014-01-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,22.56,22.56,0,"Not Started"
2014-01-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,20.54,20.54,0,"Not Started"
2014-01-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,34.18,34.18,507113,"In Progress"
2014-01-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,23.44,23.44,438228,"Not Started"
2014-01-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,29.53,29.53,553898,"In Progress"
2014-01-01,"REG001","sensing","compliance_score","Legal","Compliance",100,31,31,0,"In Progress"
2014-01-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,27.84,27.84,0,"In Progress"
2014-02-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,27.42,27.42,625495,"In Progress"
2014-02-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,23.9,23.9,0,"Not Started"
2014-02-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,27.75,27.75,0,"In Progress"
2014-02-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,21.52,21.52,0,"Not Started"
2014-02-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,27.92,27.92,596342,"In Progress"
2014-02-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,39.46,39.46,614855,"In Progress"
2014-02-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,34.11,34.11,812939,"In Progress"
2014-02-01,"REG001","sensing","compliance_score","Legal","Compliance",100,32.82,32.82,0,"In Progress"
2014-02-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,23.28,23.28,0,"Not Started"
2014-03-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,22.87,22.87,793507,"Not Started"
2014-03-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,32.11,32.11,0,"In Progress"
2014-03-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,34.63,34.63,0,"In Progress"
2014-03-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,28.31,28.31,0,"In Progress"
2014-03-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,23.38,23.38,580258,"Not Started"
2014-03-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,35.08,35.08,663887,"In Progress"
2014-03-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,29.91,29.91,452332,"In Progress"
2014-03-01,"REG001","sensing","compliance_score","Legal","Compliance",100,41.26,41.26,0,"In Progress"
2014-03-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,29.74,29.74,0,"In Progress"
2014-04-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,29.71,29.71,658548,"In Progress"
2014-04-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,26.75,26.75,0,"In Progress"
2014-04-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,23.66,23.66,0,"Not Started"
2014-04-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,22.04,22.04,0,"Not Started"
2014-04-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,39.1,39.1,765955,"In Progress"
2014-04-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,39.36,39.36,634340,"In Progress"
2014-04-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,32.96,32.96,786014,"In Progress"
2014-04-01,"REG001","sensing","compliance_score","Legal","Compliance",100,40.95,40.95,0,"In Progress"
2014-04-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,35.64,35.64,0,"In Progress"
2014-05-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,22.06,22.06,814893,"Not Started"
2014-05-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,33.53,33.53,0,"In Progress"
2014-05-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,32.12,32.12,0,"In Progress"
2014-05-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,32.62,32.62,0,"In Progress"
2014-05-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,42.51,42.51,853242,"In Progress"
2014-05-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,41.58,41.58,648399,"In Progress"
2014-05-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,44.51,44.51,719351,"In Progress"
2014-05-01,"REG001","sensing","compliance_score","Legal","Compliance",100,31.93,31.93,0,"In Progress"
2014-05-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,24.7,24.7,0,"Not Started"
2014-06-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,30.51,30.51,716016,"In Progress"
2014-06-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,33.43,33.43,0,"In Progress"
2014-06-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,36.24,36.24,0,"In Progress"
2014-06-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,34.42,34.42,0,"In Progress"
2014-06-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,39.53,39.53,989319,"In Progress"
2014-06-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,40.33,40.33,877309,"In Progress"
2014-06-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,37.58,37.58,849603,"In Progress"
2014-06-01,"REG001","sensing","compliance_score","Legal","Compliance",100,41.72,41.72,0,"In Progress"
2014-06-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,29.42,29.42,0,"In Progress"
2014-07-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,34.76,34.76,782199,"In Progress"
2014-07-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,32.07,32.07,0,"In Progress"
2014-07-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,33.76,33.76,0,"In Progress"
2014-07-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,27.46,27.46,0,"In Progress"
2014-07-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,44.7,44.7,862440,"In Progress"
2014-07-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,42.23,42.23,914505,"In Progress"
2014-07-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,38.36,38.36,784530,"In Progress"
2014-07-01,"REG001","sensing","compliance_score","Legal","Compliance",100,49.58,49.58,0,"In Progress"
2014-07-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,32.61,32.61,0,"In Progress"
2014-08-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,35.64,35.64,909764,"In Progress"
2014-08-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,27.85,27.85,0,"In Progress"
2014-08-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,40.78,40.78,0,"In Progress"
2014-08-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,37.08,37.08,0,"In Progress"
2014-08-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,39.45,39.45,784981,"In Progress"
2014-08-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,48.69,48.69,744706,"In Progress"
2014-08-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,33.66,33.66,811668,"In Progress"
2014-08-01,"REG001","sensing","compliance_score","Legal","Compliance",100,50.38,50.38,0,"Advanced"
2014-08-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,32.61,32.61,0,"In Progress"
2014-09-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,36.62,36.62,843995,"In Progress"
2014-09-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,33.96,33.96,0,"In Progress"
2014-09-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,42.92,42.92,0,"In Progress"
2014-09-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,46.5,46.5,0,"In Progress"
2014-09-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,45.63,45.63,1005836,"In Progress"
2014-09-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,49.19,49.19,948827,"In Progress"
2014-09-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,41.18,41.18,746025,"In Progress"
2014-09-01,"REG001","sensing","compliance_score","Legal","Compliance",100,47.96,47.96,0,"In Progress"
2014-09-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,42.95,42.95,0,"In Progress"
2014-10-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,35.26,35.26,787155,"In Progress"
2014-10-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,35.9,35.9,0,"In Progress"
2014-10-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,42.84,42.84,0,"In Progress"
2014-10-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,35.61,35.61,0,"In Progress"
2014-10-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,39.73,39.73,1034888,"In Progress"
2014-10-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,52.19,52.19,843244,"Advanced"
2014-10-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,42.04,42.04,929039,"In Progress"
2014-10-01,"REG001","sensing","compliance_score","Legal","Compliance",100,51.04,51.04,0,"Advanced"
2014-10-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,38.76,38.76,0,"In Progress"
2014-11-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,36.18,36.18,1109553,"In Progress"
2014-11-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,39.99,39.99,0,"In Progress"
2014-11-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,34.31,34.31,0,"In Progress"
2014-11-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,43.38,43.38,0,"In Progress"
2014-11-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,54.81,54.81,966728,"Advanced"
2014-11-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,59.91,59.91,889510,"Advanced"
2014-11-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,44.74,44.74,1224843,"In Progress"
2014-11-01,"REG001","sensing","compliance_score","Legal","Compliance",100,44.7,44.7,0,"In Progress"
2014-11-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,35.59,35.59,0,"In Progress"
2014-12-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,37.24,37.24,1064021,"In Progress"
2014-12-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,47.12,47.12,0,"In Progress"
2014-12-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,57.52,57.52,0,"Advanced"
2014-12-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,38.27,38.27,0,"In Progress"
2014-12-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,59.5,59.5,881791,"Advanced"
2014-12-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,54.42,54.42,1079701,"Advanced"
2014-12-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,44.15,44.15,1123809,"In Progress"
2014-12-01,"REG001","sensing","compliance_score","Legal","Compliance",100,52.87,52.87,0,"Advanced"
2014-12-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,43.89,43.89,0,"In Progress"
2015-01-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,43.9,43.9,1014767,"In Progress"
2015-01-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,53.15,53.15,0,"Advanced"
2015-01-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,47.53,47.53,0,"In Progress"
2015-01-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,48.12,48.12,0,"In Progress"
2015-01-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,57.97,57.97,1142537,"Advanced"
2015-01-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,54.29,54.29,1005040,"Advanced"
2015-01-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,45.49,45.49,1229392,"In Progress"
2015-01-01,"REG001","sensing","compliance_score","Legal","Compliance",100,49.35,49.35,0,"In Progress"
2015-01-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,46.74,46.74,0,"In Progress"
2015-02-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,41.19,41.19,921201,"In Progress"
2015-02-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,51.79,51.79,0,"Advanced"
2015-02-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,52.98,52.98,0,"Advanced"
2015-02-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,46.27,46.27,0,"In Progress"
2015-02-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,55.1,55.1,1217907,"Advanced"
2015-02-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,45.82,45.82,1205019,"In Progress"
2015-02-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,47.15,47.15,1197560,"In Progress"
2015-02-01,"REG001","sensing","compliance_score","Legal","Compliance",100,53.27,53.27,0,"Advanced"
2015-02-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,53.85,53.85,0,"Advanced"
2015-03-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,44.94,44.94,1331774,"In Progress"
2015-03-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,46.46,46.46,0,"In Progress"
2015-03-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,53.18,53.18,0,"Advanced"
2015-03-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,54.04,54.04,0,"Advanced"
2015-03-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,56.88,56.88,1123029,"Advanced"
2015-03-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,68.46,68.46,1154724,"Advanced"
2015-03-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,51.11,51.11,1259769,"Advanced"
2015-03-01,"REG001","sensing","compliance_score","Legal","Compliance",100,61,61,0,"Advanced"
2015-03-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,47.33,47.33,0,"In Progress"
2015-04-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,47.74,47.74,1513575,"In Progress"
2015-04-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,41.36,41.36,0,"In Progress"
2015-04-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,58.18,58.18,0,"Advanced"
2015-04-01,"ORG001","reconfiguring","areas_reorganized","Strategy","Change Management",100,42.63,42.63,0,"In Progress"
2015-04-01,"PAT001","sensing","customer_patterns_identified","Analytics","Data Science",100,52.39,52.39,1242432,"Advanced"
2015-04-01,"PRO001","sensing","processes_optimized","Operations","Process Excellence",100,56.78,56.78,1242424,"Advanced"
2015-04-01,"PROD001","seizing","new_products_launched","Product","Innovation",100,59.64,59.64,1277263,"Advanced"
2015-04-01,"REG001","sensing","compliance_score","Legal","Compliance",100,54,54,0,"Advanced"
2015-04-01,"TRN001","seizing","staff_trained_analytics","HR","L&D",100,58.77,58.77,0,"Advanced"
2015-05-01,"ALL001","reconfiguring","digital_alliances_established","Partnership","Strategy",100,58.47,58.47,1251626,"Advanced"
2015-05-01,"DEC001","reconfiguring","data_based_decisions","Executive","Management",100,48.99,48.99,0,"In Progress"
2015-05-01,"DS001","seizing","data_lake_migration","IT","Data Engineering",100,59.11,59.11,0,"Advanced"
